Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
03/04/00;9,0745;1600,7629;74,014;1,447;1910,474;1291,832;10480,0601
04/04/00;9,0745;1600,7629;74,014;1,453;1910,474;1291,832;10480,0601
05/04/00;9,0745;1600,7629;74,014;1,4269;1910,474;1291,832;10480,0601
06/04/00;9,0745;1600,7629;74,014;1,445;1910,474;1291,832;10480,0601
07/04/00;9,0745;1600,7629;74,014;1,4444;1910,474;1291,832;10480,0601
10/04/00;9,0745;1600,7629;74,014;1,4305;1910,474;1291,832;10480,0601
11/04/00;9,0745;1600,7629;74,014;1,4328;1910,474;1291,832;10480,0601
12/04/00;9,0745;1600,7629;74,014;1,501;1910,474;1291,832;10480,0601
13/04/00;9,0745;1600,7629;74,014;1,4825;1910,474;1291,832;10480,0601
14/04/00;9,0745;1600,7629;74,014;1,4707;1910,474;1291,832;10480,0601
17/04/00;9,0745;1600,7629;74,014;1,4199;1910,474;1291,832;10480,0601
18/04/00;9,0745;1600,7629;74,014;1,4562;1910,474;1291,832;10480,0601
19/04/00;9,0745;1600,7629;74,014;1,4592;1910,474;1291,832;10480,0601
20/04/00;9,0745;1600,7629;74,014;1,4588;1910,474;1291,832;10480,0601
25/04/00;9,0745;1600,7629;74,014;1,4641;1910,474;1291,832;10480,0601
26/04/00;9,0745;1600,7629;74,014;1,4606;1910,474;1291,832;10480,0601
27/04/00;9,0745;1600,7629;74,014;1,4786;1910,474;1291,832;10480,0601
28/04/00;9,0745;1600,7629;74,014;1,4755;1910,474;1291,832;10480,0601
02/05/00;9,0745;1600,7629;74,014;1,488;1910,474;1291,832;10480,0601
03/05/00;9,0745;1600,7629;74,014;1,4832;1910,474;1291,832;10480,0601
04/05/00;9,0745;1600,7629;74,014;1,4922;1910,474;1291,832;10480,0601
05/05/00;9,0745;1600,7629;74,014;1,4969;1910,474;1291,832;10480,0601
08/05/00;9,0745;1600,7629;74,014;1,4409;1910,474;1291,832;10480,0601
09/05/00;9,0745;1600,7629;74,014;1,4374;1910,474;1291,832;10480,0601
10/05/00;9,0745;1600,7629;74,014;1,4488;1910,474;1291,832;10480,0601
11/05/00;9,0745;1600,7629;74,014;1,4501;1910,474;1291,832;10480,0601
12/05/00;9,0745;1600,7629;74,014;1,4466;1910,474;1291,832;10480,0601
15/05/00;9,0745;1600,7629;74,014;1,4339;1910,474;1291,832;10480,0601
16/05/00;9,0745;1600,7629;74,014;1,4339;1910,474;1291,832;10480,0601
17/05/00;9,0745;1600,7629;74,014;1,4446;1910,474;1291,832;10480,0601
18/05/00;9,0745;1600,7629;74,014;1,4409;1910,474;1291,832;10480,0601
19/05/00;9,0745;1600,7629;74,014;1,4353;1910,474;1291,832;10480,0601
22/05/00;9,0745;1600,7629;74,014;1,4466;1910,474;1291,832;10480,0601
23/05/00;9,0745;1600,7629;74,014;1,4832;1910,474;1291,832;10480,0601
24/05/00;9,0745;1600,7629;74,014;1,4501;1910,474;1291,832;10480,0601
25/05/00;9,0745;1600,7629;74,014;1,4629;1910,474;1291,832;10480,0601
26/05/00;9,0745;1600,7629;74,014;1,4641;1910,474;1291,832;10480,0601
29/05/00;9,0745;1600,7629;74,014;1,4508;1910,474;1291,832;10480,0601
30/05/00;9,0745;1600,7629;74,014;1,4463;1910,474;1291,832;10480,0601
31/05/00;9,0745;1600,7629;74,014;1,4469;1910,474;1291,832;10480,0601
01/06/00;9,0745;1600,7629;74,014;1,438;1910,474;1291,832;10480,0601
02/06/00;9,0745;1600,7629;74,014;1,4351;1910,474;1291,832;10480,0601
05/06/00;9,0745;1600,7629;74,014;1,4374;1910,474;1291,832;10480,0601
06/06/00;9,0745;1600,7629;74,014;1,4325;1910,474;1291,832;10480,0601
07/06/00;9,0745;1600,7629;74,014;1,4301;1910,474;1291,832;10480,0601
08/06/00;9,0745;1600,7629;74,014;1,426;1910,474;1291,832;10480,0601
09/06/00;9,0745;1600,7629;74,014;1,4247;1910,474;1291,832;10480,0601
12/06/00;9,0745;1600,7629;74,014;1,4226;1910,474;1291,832;10480,0601
13/06/00;9,0745;1600,7629;74,014;1,4342;1910,474;1291,832;10480,0601
14/06/00;9,0745;1600,7629;74,014;1,4322;1910,474;1291,832;10480,0601
15/06/00;9,0745;1600,7629;74,014;1,4281;1910,474;1291,832;10480,0601
16/06/00;9,0745;1600,7629;74,014;1,4266;1910,474;1291,832;10480,0601
19/06/00;9,0745;1600,7629;74,014;1,4321;1910,474;1291,832;10480,0601
20/06/00;9,0745;1600,7629;74,014;1,4188;1910,474;1291,832;10480,0601
21/06/00;9,0745;1600,7629;74,014;1,4167;1910,474;1291,832;10480,0601
22/06/00;9,0745;1600,7629;74,014;1,4545;1910,474;1291,832;10480,0601
23/06/00;9,0745;1600,7629;74,014;1,4261;1910,474;1291,832;10480,0601
26/06/00;9,0745;1600,7629;74,014;1,4312;1910,474;1291,832;10480,0601
27/06/00;9,0745;1600,7629;74,014;1,4234;1910,474;1291,832;10480,0601
28/06/00;9,0745;1600,7629;74,014;1,4299;1910,474;1291,832;10480,0601
29/06/00;9,0745;1600,7629;74,014;1,4376;1910,474;1291,832;10480,0601
30/06/00;9,0745;1570,778;81,59;1,424;1866,7361;1310,893;10495,8529
03/07/00;9,0745;1570,778;81,59;1,4263;1866,7361;1310,893;10495,8529
04/07/00;9,0745;1570,778;81,59;1,4315;1866,7361;1310,893;10495,8529
05/07/00;9,0745;1570,778;81,59;1,4424;1866,7361;1310,893;10495,8529
06/07/00;9,0745;1570,778;81,59;1,4278;1866,7361;1310,893;10495,8529
07/07/00;9,0745;1570,778;81,59;1,4354;1866,7361;1310,893;10495,8529
10/07/00;9,0745;1570,778;81,59;1,4212;1866,7361;1310,893;10495,8529
11/07/00;9,0745;1570,778;81,59;1,4246;1866,7361;1310,893;10495,8529
12/07/00;9,0745;1570,778;81,59;1,4278;1866,7361;1310,893;10495,8529
13/07/00;9,0745;1570,778;81,59;1,4052;1866,7361;1310,893;10495,8529
14/07/00;9,0745;1570,778;81,59;1,4135;1866,7361;1310,893;10495,8529
17/07/00;9,0745;1570,778;81,59;1,4106;1866,7361;1310,893;10495,8529
18/07/00;9,0745;1570,778;81,59;1,4097;1866,7361;1310,893;10495,8529
19/07/00;9,0745;1570,778;81,59;1,4085;1866,7361;1310,893;10495,8529
20/07/00;9,0745;1570,778;81,59;1,4197;1866,7361;1310,893;10495,8529
21/07/00;9,0745;1570,778;81,59;1,4121;1866,7361;1310,893;10495,8529
24/07/00;9,0745;1570,778;81,59;1,4097;1866,7361;1310,893;10495,8529
25/07/00;9,0745;1570,778;81,59;1,4067;1866,7361;1310,893;10495,8529
26/07/00;9,0745;1570,778;81,59;1,4022;1866,7361;1310,893;10495,8529
27/07/00;9,0745;1570,778;81,59;1,3937;1866,7361;1310,893;10495,8529
28/07/00;9,0745;1570,778;81,59;1,3977;1866,7361;1310,893;10495,8529
31/07/00;9,0745;1570,778;81,59;1,3908;1866,7361;1310,893;10495,8529
01/08/00;9,0745;1570,778;81,59;1,4003;1866,7361;1310,893;10495,8529
02/08/00;9,0745;1570,778;81,59;1,3977;1866,7361;1310,893;10495,8529
03/08/00;9,0745;1570,778;81,59;1,3916;1866,7361;1310,893;10495,8529
04/08/00;9,0745;1570,778;81,59;1,3994;1866,7361;1310,893;10495,8529
07/08/00;9,0745;1570,778;81,59;1,395;1866,7361;1310,893;10495,8529
08/08/00;9,0745;1570,778;81,59;1,4022;1866,7361;1310,893;10495,8529
09/08/00;9,0745;1570,778;81,59;1,3995;1866,7361;1310,893;10495,8529
10/08/00;9,0745;1570,778;81,59;1,4027;1866,7361;1310,893;10495,8529
11/08/00;9,0745;1570,778;81,59;1,4078;1866,7361;1310,893;10495,8529
14/08/00;9,0745;1570,778;81,59;1,4055;1866,7361;1310,893;10495,8529
16/08/00;9,0745;1570,778;81,59;1,4006;1866,7361;1310,893;10495,8529
17/08/00;9,0745;1570,778;81,59;1,3977;1866,7361;1310,893;10495,8529
18/08/00;9,0745;1570,778;81,59;1,4004;1866,7361;1310,893;10495,8529
21/08/00;9,0745;1570,778;81,59;1,4013;1866,7361;1310,893;10495,8529
22/08/00;9,0745;1570,778;81,59;1,4081;1866,7361;1310,893;10495,8529
23/08/00;9,0745;1570,778;81,59;1,4147;1866,7361;1310,893;10495,8529
24/08/00;9,0745;1570,778;81,59;1,4234;1866,7361;1310,893;10495,8529
25/08/00;9,0745;1570,778;81,59;1,4078;1866,7361;1310,893;10495,8529
28/08/00;9,0745;1570,778;81,59;1,4115;1866,7361;1310,893;10495,8529
29/08/00;9,0745;1570,778;81,59;1,4136;1866,7361;1310,893;10495,8529
30/08/00;9,0745;1570,778;81,59;1,4248;1866,7361;1310,893;10495,8529
31/08/00;9,0745;1570,778;81,59;1,4599;1866,7361;1310,893;10495,8529
01/09/00;9,0745;1570,778;81,59;1,4559;1866,7361;1310,893;10495,8529
04/09/00;9,0745;1570,778;81,59;1,4578;1866,7361;1310,893;10495,8529
05/09/00;9,0745;1570,778;81,59;1,459;1866,7361;1310,893;10495,8529
06/09/00;9,0745;1570,778;81,59;1,4578;1866,7361;1310,893;10495,8529
07/09/00;9,0745;1570,778;81,59;1,4575;1866,7361;1310,893;10495,8529
08/09/00;9,0745;1570,778;81,59;1,4584;1866,7361;1310,893;10495,8529
11/09/00;9,0745;1570,778;81,59;1,4369;1866,7361;1310,893;10495,8529
12/09/00;9,0745;1570,778;81,59;1,4463;1866,7361;1310,893;10495,8529
13/09/00;9,0745;1570,778;81,59;1,446;1866,7361;1310,893;10495,8529
14/09/00;9,0745;1570,778;81,59;1,4403;1866,7361;1310,893;10495,8529
15/09/00;9,0745;1570,778;81,59;1,4503;1866,7361;1310,893;10495,8529
18/09/00;9,0745;1570,778;81,59;1,4228;1866,7361;1310,893;10495,8529
19/09/00;9,0745;1570,778;81,59;1,4139;1866,7361;1310,893;10495,8529
20/09/00;9,0745;1570,778;81,59;1,4142;1866,7361;1310,893;10495,8529
21/09/00;9,0745;1570,778;81,59;1,4234;1866,7361;1310,893;10495,8529
22/09/00;9,0745;1570,778;81,59;1,4079;1866,7361;1310,893;10495,8529
25/09/00;9,0745;1570,778;81,59;1,4108;1866,7361;1310,893;10495,8529
26/09/00;9,0745;1570,778;81,59;1,4127;1866,7361;1310,893;10495,8529
27/09/00;9,0745;1570,778;81,59;1,4039;1866,7361;1310,893;10495,8529
28/09/00;9,0745;1570,778;81,59;1,4051;1866,7361;1310,893;10495,8529
29/09/00;8,9395;1936,014;79,848;1,3836;1844,0791;1332,813;10453,9012
02/10/00;8,9395;1936,014;79,848;1,386;1844,0791;1332,813;10453,9012
03/10/00;8,9395;1936,014;79,848;1,3962;1844,0791;1332,813;10453,9012
04/10/00;8,9395;1936,014;79,848;1,3973;1844,0791;1332,813;10453,9012
05/10/00;8,9395;1936,014;79,848;1,3858;1844,0791;1332,813;10453,9012
06/10/00;8,9395;1936,014;79,848;1,3969;1844,0791;1332,813;10453,9012
09/10/00;8,9395;1936,014;79,848;1,3942;1844,0791;1332,813;10453,9012
10/10/00;8,9395;1936,014;79,848;1,3867;1844,0791;1332,813;10453,9012
11/10/00;8,9395;1936,014;79,848;1,3769;1844,0791;1332,813;10453,9012
12/10/00;8,9395;1936,014;79,848;1,3839;1844,0791;1332,813;10453,9012
13/10/00;8,9395;1936,014;79,848;1,3741;1844,0791;1332,813;10453,9012
16/10/00;8,9395;1936,014;79,848;1,3678;1844,0791;1332,813;10453,9012
17/10/00;8,9395;1936,014;79,848;1,3867;1844,0791;1332,813;10453,9012
18/10/00;8,9395;1936,014;79,848;1,3786;1844,0791;1332,813;10453,9012
19/10/00;8,9395;1936,014;79,848;1,3746;1844,0791;1332,813;10453,9012
20/10/00;8,9395;1936,014;79,848;1,3803;1844,0791;1332,813;10453,9012
23/10/00;8,9395;1936,014;79,848;1,3758;1844,0791;1332,813;10453,9012
24/10/00;8,9395;1936,014;79,848;1,3676;1844,0791;1332,813;10453,9012
25/10/00;8,9395;1936,014;79,848;1,371;1844,0791;1332,813;10453,9012
26/10/00;8,9395;1936,014;79,848;1,37;1844,0791;1332,813;10453,9012
27/10/00;8,9395;1936,014;79,848;1,373;1844,0791;1332,813;10453,9012
30/10/00;8,9395;1936,014;79,848;1,3743;1844,0791;1332,813;10453,9012
31/10/00;8,9395;1936,014;79,848;1,3641;1844,0791;1332,813;10453,9012
01/11/00;8,9395;1936,014;79,848;1,3662;1844,0791;1332,813;10453,9012
02/11/00;8,9395;1936,014;79,848;1,367;1844,0791;1332,813;10453,9012
03/11/00;8,9395;1936,014;79,848;1,3747;1844,0791;1332,813;10453,9012
06/11/00;8,9395;1936,014;79,848;1,3784;1844,0791;1332,813;10453,9012
07/11/00;8,9395;1936,014;79,848;1,3777;1844,0791;1332,813;10453,9012
08/11/00;8,9395;1936,014;79,848;1,3675;1844,0791;1332,813;10453,9012
09/11/00;8,9395;1936,014;79,848;1,374;1844,0791;1332,813;10453,9012
10/11/00;8,9395;1936,014;79,848;1,3703;1844,0791;1332,813;10453,9012
13/11/00;8,9395;1936,014;79,848;1,3673;1844,0791;1332,813;10453,9012
14/11/00;8,9395;1936,014;79,848;1,3741;1844,0791;1332,813;10453,9012
15/11/00;8,9395;1936,014;79,848;1,3741;1844,0791;1332,813;10453,9012
16/11/00;8,9395;1936,014;79,848;1,3682;1844,0791;1332,813;10453,9012
17/11/00;8,9395;1936,014;79,848;1,3616;1844,0791;1332,813;10453,9012
20/11/00;8,9395;1936,014;79,848;1,3629;1844,0791;1332,813;10453,9012
21/11/00;8,9395;1936,014;79,848;1,3598;1844,0791;1332,813;10453,9012
22/11/00;8,9395;1936,014;79,848;1,3592;1844,0791;1332,813;10453,9012
23/11/00;8,9395;1936,014;79,848;1,3582;1844,0791;1332,813;10453,9012
24/11/00;8,9395;1936,014;79,848;1,3523;1844,0791;1332,813;10453,9012
27/11/00;8,9395;1936,014;79,848;1,3679;1844,0791;1332,813;10453,9012
28/11/00;8,9395;1936,014;79,848;1,3629;1844,0791;1332,813;10453,9012
29/11/00;8,9395;1936,014;79,848;1,3493;1844,0791;1332,813;10453,9012
30/11/00;8,9395;1936,014;79,848;1,3582;1844,0791;1332,813;10453,9012
01/12/00;8,9395;1936,014;79,848;1,3499;1844,0791;1332,813;10453,9012
04/12/00;8,9395;1936,014;79,848;1,366;1844,0791;1332,813;10453,9012
05/12/00;8,9395;1936,014;79,848;1,3656;1844,0791;1332,813;10453,9012
06/12/00;8,9395;1936,014;79,848;1,3734;1844,0791;1332,813;10453,9012
07/12/00;8,9395;1936,014;79,848;1,365;1844,0791;1332,813;10453,9012
08/12/00;8,9395;1936,014;79,848;1,354;1844,0791;1332,813;10453,9012
11/12/00;8,9395;1936,014;79,848;1,3673;1844,0791;1332,813;10453,9012
12/12/00;8,9395;1936,014;79,848;1,3673;1844,0791;1332,813;10453,9012
13/12/00;8,9395;1936,014;79,848;1,3721;1844,0791;1332,813;10453,9012
14/12/00;8,9395;1936,014;79,848;1,3688;1844,0791;1332,813;10453,9012
15/12/00;8,9395;1936,014;79,848;1,3747;1844,0791;1332,813;10453,9012
18/12/00;8,9395;1936,014;79,848;1,3673;1844,0791;1332,813;10453,9012
19/12/00;8,9395;1936,014;79,848;1,3718;1844,0791;1332,813;10453,9012
20/12/00;8,9395;1936,014;79,848;1,3461;1844,0791;1332,813;10453,9012
21/12/00;8,9395;1936,014;79,848;1,3304;1844,0791;1332,813;10453,9012
22/12/00;8,9395;1936,014;79,848;1,3638;1844,0791;1332,813;10453,9012
27/12/00;8,9395;1936,014;79,848;1,3545;1844,0791;1332,813;10453,9012
28/12/00;8,9395;1936,014;79,848;1,3555;1844,0791;1332,813;10453,9012
29/12/00;9,3225;2294,821;129,876;1,3857;1806,2518;1303,452;11448,0198
02/01/01;9,3225;2294,821;129,876;1,3981;1806,2518;1303,452;11448,0198
03/01/01;9,3225;2294,821;129,876;1,3906;1806,2518;1303,452;11448,0198
04/01/01;9,3225;2294,821;129,876;1,3925;1806,2518;1303,452;11448,0198
05/01/01;9,3225;2294,821;129,876;1,3972;1806,2518;1303,452;11448,0198
08/01/01;9,3225;2294,821;129,876;1,383;1806,2518;1303,452;11448,0198
09/01/01;9,3225;2294,821;129,876;1,3715;1806,2518;1303,452;11448,0198
10/01/01;9,3225;2294,821;129,876;1,3895;1806,2518;1303,452;11448,0198
11/01/01;9,3225;2294,821;129,876;1,3859;1806,2518;1303,452;11448,0198
12/01/01;9,3225;2294,821;129,876;1,3894;1806,2518;1303,452;11448,0198
15/01/01;9,3225;2294,821;129,876;1,3953;1806,2518;1303,452;11448,0198
16/01/01;9,3225;2294,821;129,876;1,3951;1806,2518;1303,452;11448,0198
17/01/01;9,3225;2294,821;129,876;1,3989;1806,2518;1303,452;11448,0198
18/01/01;9,3225;2294,821;129,876;1,3936;1806,2518;1303,452;11448,0198
19/01/01;9,3225;2294,821;129,876;1,3992;1806,2518;1303,452;11448,0198
22/01/01;9,3225;2294,821;129,876;1,3969;1806,2518;1303,452;11448,0198
23/01/01;9,3225;2294,821;129,876;1,3939;1806,2518;1303,452;11448,0198
24/01/01;9,3225;2294,821;129,876;1,3998;1806,2518;1303,452;11448,0198
25/01/01;9,3225;2294,821;129,876;1,4046;1806,2518;1303,452;11448,0198
26/01/01;9,3225;2294,821;129,876;1,4018;1806,2518;1303,452;11448,0198
29/01/01;9,3225;2294,821;129,876;1,391;1806,2518;1303,452;11448,0198
30/01/01;9,3225;2294,821;129,876;1,3888;1806,2518;1303,452;11448,0198
31/01/01;9,3225;2294,821;129,876;1,3892;1806,2518;1303,452;11448,0198
01/02/01;9,3225;2294,821;129,876;1,3844;1806,2518;1303,452;11448,0198
02/02/01;9,3225;2294,821;129,876;1,4034;1806,2518;1303,452;11448,0198
05/02/01;9,3225;2294,821;129,876;1,3915;1806,2518;1303,452;11448,0198
06/02/01;9,3225;2294,821;129,876;1,3983;1806,2518;1303,452;11448,0198
07/02/01;9,3225;2294,821;129,876;1,3933;1806,2518;1303,452;11448,0198
08/02/01;9,3225;2294,821;129,876;1,3883;1806,2518;1303,452;11448,0198
09/02/01;9,3225;2294,821;129,876;1,3889;1806,2518;1303,452;11448,0198
12/02/01;9,3225;2294,821;129,876;1,3808;1806,2518;1303,452;11448,0198
13/02/01;9,3225;2294,821;129,876;1,39;1806,2518;1303,452;11448,0198
14/02/01;9,3225;2294,821;129,876;1,378;1806,2518;1303,452;11448,0198
15/02/01;9,3225;2294,821;129,876;1,38;1806,2518;1303,452;11448,0198
16/02/01;9,3225;2294,821;129,876;1,3755;1806,2518;1303,452;11448,0198
19/02/01;9,3225;2294,821;129,876;1,3702;1806,2518;1303,452;11448,0198
20/02/01;9,3225;2294,821;129,876;1,3705;1806,2518;1303,452;11448,0198
21/02/01;9,3225;2294,821;129,876;1,3664;1806,2518;1303,452;11448,0198
22/02/01;9,3225;2294,821;129,876;1,3678;1806,2518;1303,452;11448,0198
23/02/01;9,3225;2294,821;129,876;1,3744;1806,2518;1303,452;11448,0198
26/02/01;9,3225;2294,821;129,876;1,374;1806,2518;1303,452;11448,0198
27/02/01;9,3225;2294,821;129,876;1,3724;1806,2518;1303,452;11448,0198
28/02/01;9,3225;2294,821;129,876;1,3755;1806,2518;1303,452;11448,0198
01/03/01;9,3225;2294,821;129,876;1,365;1806,2518;1303,452;11448,0198
02/03/01;9,3225;2294,821;129,876;1,3611;1806,2518;1303,452;11448,0198
05/03/01;9,3225;2294,821;129,876;1,3578;1806,2518;1303,452;11448,0198
06/03/01;9,3225;2294,821;129,876;1,3644;1806,2518;1303,452;11448,0198
07/03/01;9,3225;2294,821;129,876;1,3851;1806,2518;1303,452;11448,0198
08/03/01;9,3225;2294,821;129,876;1,3886;1806,2518;1303,452;11448,0198
09/03/01;9,3225;2294,821;129,876;1,3879;1806,2518;1303,452;11448,0198
12/03/01;9,3225;2294,821;129,876;1,3865;1806,2518;1303,452;11448,0198
13/03/01;9,3225;2294,821;129,876;1,3755;1806,2518;1303,452;11448,0198
14/03/01;9,3225;2294,821;129,876;1,3653;1806,2518;1303,452;11448,0198
15/03/01;9,3225;2294,821;129,876;1,3815;1806,2518;1303,452;11448,0198
16/03/01;9,3225;2294,821;129,876;1,3662;1806,2518;1303,452;11448,0198
19/03/01;9,3225;2294,821;129,876;1,3712;1806,2518;1303,452;11448,0198
20/03/01;9,3225;2294,821;129,876;1,3741;1806,2518;1303,452;11448,0198
21/03/01;9,3225;2294,821;129,876;1,3675;1806,2518;1303,452;11448,0198
22/03/01;9,3225;2294,821;129,876;1,3629;1806,2518;1303,452;11448,0198
23/03/01;9,3225;2294,821;129,876;1,3608;1806,2518;1303,452;11448,0198
26/03/01;9,3225;2294,821;129,876;1,3599;1806,2518;1303,452;11448,0198
27/03/01;9,3225;2294,821;129,876;1,3697;1806,2518;1303,452;11448,0198
28/03/01;9,3225;2294,821;129,876;1,375;1806,2518;1303,452;11448,0198
29/03/01;9,3225;2294,821;129,876;1,3981;1806,2518;1303,452;11448,0198
30/03/01;9,7911;2094,7361;86,262;1,4321;1822,2102;1272,4341;11159,817
02/04/01;9,7911;2094,7361;86,262;1,4446;1822,2102;1272,4341;11159,817
03/04/01;9,7911;2094,7361;86,262;1,4341;1822,2102;1272,4341;11159,817
04/04/01;9,7911;2094,7361;86,262;1,4369;1822,2102;1272,4341;11159,817
05/04/01;9,7911;2094,7361;86,262;1,4254;1822,2102;1272,4341;11159,817
06/04/01;9,7911;2094,7361;86,262;1,4299;1822,2102;1272,4341;11159,817
09/04/01;9,7911;2094,7361;86,262;1,4262;1822,2102;1272,4341;11159,817
10/04/01;9,7911;2094,7361;86,262;1,4339;1822,2102;1272,4341;11159,817
11/04/01;9,7911;2094,7361;86,262;1,4423;1822,2102;1272,4341;11159,817
12/04/01;9,7911;2094,7361;86,262;1,44;1822,2102;1272,4341;11159,817
17/04/01;9,7911;2094,7361;86,262;1,4477;1822,2102;1272,4341;11159,817
18/04/01;9,7911;2094,7361;86,262;1,4514;1822,2102;1272,4341;11159,817
19/04/01;9,7911;2094,7361;86,262;1,44;1822,2102;1272,4341;11159,817
20/04/01;9,7911;2094,7361;86,262;1,4465;1822,2102;1272,4341;11159,817
23/04/01;9,7911;2094,7361;86,262;1,4393;1822,2102;1272,4341;11159,817
24/04/01;9,7911;2094,7361;86,262;1,4449;1822,2102;1272,4341;11159,817
25/04/01;9,7911;2094,7361;86,262;1,4446;1822,2102;1272,4341;11159,817
26/04/01;9,7911;2094,7361;86,262;1,4423;1822,2102;1272,4341;11159,817
27/04/01;9,7911;2094,7361;86,262;1,4474;1822,2102;1272,4341;11159,817
30/04/01;9,7911;2094,7361;86,262;1,464;1822,2102;1272,4341;11159,817
02/05/01;9,7911;2094,7361;86,262;1,4612;1822,2102;1272,4341;11159,817
03/05/01;9,7911;2094,7361;86,262;1,4545;1822,2102;1272,4341;11159,817
04/05/01;9,7911;2094,7361;86,262;1,455;1822,2102;1272,4341;11159,817
07/05/01;9,7911;2094,7361;86,262;1,3966;1822,2102;1272,4341;11159,817
08/05/01;9,7911;2094,7361;86,262;1,4085;1822,2102;1272,4341;11159,817
09/05/01;9,7911;2094,7361;86,262;1,403;1822,2102;1272,4341;11159,817
10/05/01;9,7911;2094,7361;86,262;1,4279;1822,2102;1272,4341;11159,817
11/05/01;9,7911;2094,7361;86,262;1,4214;1822,2102;1272,4341;11159,817
14/05/01;9,7911;2094,7361;86,262;1,4205;1822,2102;1272,4341;11159,817
15/05/01;9,7911;2094,7361;86,262;1,4321;1822,2102;1272,4341;11159,817
16/05/01;9,7911;2094,7361;86,262;1,4293;1822,2102;1272,4341;11159,817
17/05/01;9,7911;2094,7361;86,262;1,4488;1822,2102;1272,4341;11159,817
18/05/01;9,7911;2094,7361;86,262;1,4508;1822,2102;1272,4341;11159,817
21/05/01;9,7911;2094,7361;86,262;1,4644;1822,2102;1272,4341;11159,817
22/05/01;9,7911;2094,7361;86,262;1,4686;1822,2102;1272,4341;11159,817
23/05/01;9,7911;2094,7361;86,262;1,4711;1822,2102;1272,4341;11159,817
24/05/01;9,7911;2094,7361;86,262;1,4709;1822,2102;1272,4341;11159,817
25/05/01;9,7911;2094,7361;86,262;1,4709;1822,2102;1272,4341;11159,817
28/05/01;9,7911;2094,7361;86,262;1,4633;1822,2102;1272,4341;11159,817
29/05/01;9,7911;2094,7361;86,262;1,4678;1822,2102;1272,4341;11159,817
30/05/01;9,7911;2094,7361;86,262;1,4646;1822,2102;1272,4341;11159,817
31/05/01;9,7911;2094,7361;86,262;1,4649;1822,2102;1272,4341;11159,817
01/06/01;9,7911;2094,7361;86,262;1,4637;1822,2102;1272,4341;11159,817
04/06/01;9,7911;2094,7361;86,262;1,4664;1822,2102;1272,4341;11159,817
05/06/01;9,7911;2094,7361;86,262;1,4672;1822,2102;1272,4341;11159,817
06/06/01;9,7911;2094,7361;86,262;1,4658;1822,2102;1272,4341;11159,817
07/06/01;9,7911;2094,7361;86,262;1,4629;1822,2102;1272,4341;11159,817
08/06/01;9,7911;2094,7361;86,262;1,4635;1822,2102;1272,4341;11159,817
11/06/01;9,7911;2094,7361;86,262;1,4633;1822,2102;1272,4341;11159,817
12/06/01;9,7911;2094,7361;86,262;1,4578;1822,2102;1272,4341;11159,817
13/06/01;9,7911;2094,7361;86,262;1,4587;1822,2102;1272,4341;11159,817
14/06/01;9,7911;2094,7361;86,262;1,4564;1822,2102;1272,4341;11159,817
15/06/01;9,7911;2094,7361;86,262;1,4554;1822,2102;1272,4341;11159,817
18/06/01;9,7911;2094,7361;86,262;1,4556;1822,2102;1272,4341;11159,817
19/06/01;9,7911;2094,7361;86,262;1,4438;1822,2102;1272,4341;11159,817
20/06/01;9,7911;2094,7361;86,262;1,4523;1822,2102;1272,4341;11159,817
21/06/01;9,7911;2094,7361;86,262;1,4554;1822,2102;1272,4341;11159,817
22/06/01;9,7911;2094,7361;86,262;1,4638;1822,2102;1272,4341;11159,817
25/06/01;9,7911;2094,7361;86,262;1,4547;1822,2102;1272,4341;11159,817
26/06/01;9,7911;2094,7361;86,262;1,4554;1822,2102;1272,4341;11159,817
27/06/01;9,7911;2094,7361;86,262;1,4542;1822,2102;1272,4341;11159,817
28/06/01;9,7911;2094,7361;86,262;1,4596;1822,2102;1272,4341;11159,817
29/06/01;9,7544;1959,52;94,943;1,4432;1867,7211;1294,171;11271,8007
02/07/01;9,7544;1959,52;94,943;1,4447;1867,7211;1294,171;11271,8007
03/07/01;9,7544;1959,52;94,943;1,4449;1867,7211;1294,171;11271,8007
04/07/01;9,7544;1959,52;94,943;1,4449;1867,7211;1294,171;11271,8007
05/07/01;9,7544;1959,52;94,943;1,4449;1867,7211;1294,171;11271,8007
06/07/01;9,7544;1959,52;94,943;1,4452;1867,7211;1294,171;11271,8007
09/07/01;9,7544;1959,52;94,943;1,4429;1867,7211;1294,171;11271,8007
10/07/01;9,7544;1959,52;94,943;1,4447;1867,7211;1294,171;11271,8007
11/07/01;9,7544;1959,52;94,943;1,4406;1867,7211;1294,171;11271,8007
12/07/01;9,7544;1959,52;94,943;1,4424;1867,7211;1294,171;11271,8007
13/07/01;9,7544;1959,52;94,943;1,4449;1867,7211;1294,171;11271,8007
16/07/01;9,7544;1959,52;94,943;1,4509;1867,7211;1294,171;11271,8007
17/07/01;9,7544;1959,52;94,943;1,4614;1867,7211;1294,171;11271,8007
18/07/01;9,7544;1959,52;94,943;1,4558;1867,7211;1294,171;11271,8007
19/07/01;9,7544;1959,52;94,943;1,4605;1867,7211;1294,171;11271,8007
20/07/01;9,7544;1959,52;94,943;1,4558;1867,7211;1294,171;11271,8007
